 *  00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
  +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
10| 10 04 08 06 11 02 09 00 05 03 07 01 19 23 17 21 13 20 15 22 14 18 12 16 34 28 32 30 35 26 33 24 29 27 31 25 43 47 41 45 37 44 39 46 38 42 36 40 58 52 56 54 59 50 57 48 53 51 55 49
11| 11 05 07 08 09 01 10 02 03 04 06 00 20 22 16 23 14 18 17 21 12 19 13 15 35 29 31 32 33 25 34 26 27 28 30 24 44 46 40 47 38 42 41 45 36 43 37 39 59 53 55 56 57 49 58 50 51 52 54 48
12| 12 13 14 24 25 26 36 37 38 48 49 50 00 01 02 27 28 29 39 40 41 51 52 53 03 04 05 15 16 17 42 43 44 54 55 56 06 07 08 18 19 20 30 31 32 57 58 59 09 10 11 21 22 23 33 34 35 45 46 47
13| 13 14 12 26 24 25 37 38 36 50 48 49 02 00 01 28 29 27 41 39 40 52 53 51 04 05 03 17 15 16 43 44 42 56 54 55 08 06 07 19 20 18 32 30 31 58 59 57 10 11 09 23 21 22 34 35 33 47 45 46
14| 14 12 13 25 26 24 38 36 37 49 50 48 01 02 00 29 27 28 40 41 39 53 51 52 05 03 04 16 17 15 44 42 43 55 56 54 07 08 06 20 18 19 31 32 30 59 57 58 11 09 10 22 23 21 35 33 34 46 47 45
15| 15 18 21 27 30 33 39 42 45 51 54 57 03 06 09 24 31 34 36 43 46 48 55 58 00 07 10 12 19 22 37 40 47 49 52 59 01 04 11 13 16 23 25 28 35 50 53 56 02 05 08 14 17 20 26 29 32 38 41 44
16| 16 20 22 29 31 35 40 44 46 53 55 59 05 07 11 25 32 33 38 42 47 49 56 57 01 08 09 14 18 23 36 41 45 50 51 58 02 03 10 12 17 21 26 27 34 48 52 54 00 04 06 13 15 19 24 28 30 37 39 43
17| 17 19 23 28 32 34 41 43 47 52 56 58 04 08 10 26 30 35 37 44 45 50 54 59 02 06 11 13 20 21 38 39 46 48 53 57 00 05 09 14 15 22 24 29 33 49 51 55 01 03 07 12 16 18 25 27 31 36 40 42
18| 18 21 15 33 27 30 42 45 39 57 51 54 09 03 06 31 34 24 46 36 43 55 58 48 07 10 00 22 12 19 40 47 37 59 49 52 11 01 04 16 23 13 35 25 28 53 56 50 05 08 02 20 14 17 29 32 26 44 38 41
19| 19 23 17 34 28 32 43 47 41 58 52 56 10 04 08 30 35 26 45 37 44 54 59 50 06 11 02 21 13 20 39 46 38 57 48 53 09 00 05 15 22 14 33 24 29 51 55 49 03 07 01 18 12 16 27 31 25 42 36 40
20| 20 22 16 35 29 31 44 46 40 59 53 55 11 05 07 32 33 25 47 38 42 56 57 49 08 09 01 23 14 18 41 45 36 58 50 51 10 02 03 17 21 12 34 26 27 52 54 48 04 06 00 19 13 15 28 30 24 43 37 39
21| 21 15 18 30 33 27 45 39 42 54 57 51 06 09 03 34 24 31 43 46 36 58 48 55 10 00 07 19 22 12 47 37 40 52 59 49 04 11 01 23 13 16 28 35 25 56 50 53 08 02 05 17 20 14 32 26 29 41 44 38
22| 22 16 20 31 35 29 46 40 44 55 59 53 07 11 05 33 25 32 42 47 38 57 49 56 09 01 08 18 23 14 45 36 41 51 58 50 03 10 02 21 12 17 27 34 26 54 48 52 06 00 04 15 19 13 30 24 28 39 43 37
23| 23 17 19 32 34 28 47 41 43 56 58 52 08 10 04 35 26 30 44 45 37 59 50 54 11 02 06 20 21 13 46 38 39 53 57 48 05 09 00 22 14 15 29 33 24 55 49 51 07 01 03 16 18 12 31 25 27 40 42 36
24| 24 36 48 12 37 49 13 25 50 14 26 38 27 39 51 00 40 52 01 28 53 02 29 41 15 42 54 03 43 55 04 16 56 05 17 44 18 30 57 06 31 58 07 19 59 08 20 32 21 33 45 09 34 46 10 22 47 11 23 35
25| 25 38 49 14 36 50 12 26 48 13 24 37 29 40 53 01 41 51 02 27 52 00 28 39 16 44 55 05 42 56 03 17 54 04 15 43 20 31 59 07 32 57 08 18 58 06 19 30 22 35 46 11 33 47 09 23 45 10 21 34
26| 26 37 50 13 38 48 14 24 49 12 25 36 28 41 52 02 39 53 00 29 51 01 27 40 17 43 56 04 44 54 05 15 55 03 16 42 19 32 58 08 30 59 06 20 57 07 18 31 23 34 47 10 35 45 11 21 46 09 22 33
27| 27 39 51 15 42 54 18 30 57 21 33 45 24 36 48 03 43 55 06 31 58 09 34 46 12 37 49 00 40 52 07 19 59 10 22 47 13 25 50 01 28 53 04 16 56 11 23 35 14 26 38 02 29 41 05 17 44 08 20 32
28| 28 41 52 17 43 56 19 32 58 23 34 47 26 37 50 04 44 54 08 30 59 10 35 45 13 38 48 02 39 53 06 20 57 11 21 46 14 24 49 00 29 51 05 15 55 09 22 33 12 25 36 01 27 40 03 16 42 07 18 31
29| 29 40 53 16 44 55 20 31 59 22 35 46 25 38 49 05 42 56 07 32 57 11 33 47 14 36 50 01 41 51 08 18 58 09 23 45 12 26 48 02 27 52 03 17 54 10 21 34 13 24 37 00 28 39 04 15 43 06 19 30
30| 30 45 54 21 39 57 15 33 51 18 27 42 34 43 58 06 46 48 09 24 55 03 31 36 19 47 52 10 37 59 00 22 49 07 12 40 23 28 56 04 35 50 11 13 53 01 16 25 17 32 41 08 26 44 02 20 38 05 14 29
